deptCode,classNo,scoreAI,scoreCompeng,scoreInfo,scoreSystems,scoreTheory,scoreHCI,scoreGraphics
cs,448,0.0,0.0,0.0,0.0,0.0,0.0,25.03
cs,448b,0.0,0.0,0.0,0.0,0.0,37.03,0.0
econ,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
educ,191x,0.0,0.0,0.0,0.0,0.0,1.53,0.0
educ,239x,0.0,0.0,0.0,0.0,0.0,1.54,0.0
educ,281x,0.0,0.0,0.0,0.0,0.0,1.67,0.0
educ,338x,0.0,0.0,0.0,0.0,0.0,1.44,0.0
educ,342,0.0,0.0,0.0,0.0,0.0,1.65,0.0
ee,101a,0.0,49.34,0.0,0.0,0.0,0.0,0.0
ee,101b,0.0,49.78,0.0,0.0,0.0,0.0,0.0
ee,102a,0.0,50.66,0.0,0.0,0.0,0.0,0.0
ee,102b,0.0,50.22,0.0,0.0,0.0,0.0,0.0
ee,109,0.0,33.18,0.0,0.0,0.0,0.0,0.0
ee,179,0.0,13.97,0.0,0.0,0.0,0.0,0.0
ee,180,3.79,0.0,4.04,58.37,3.26,1.51,2.64
ee,209,6.42,0.0,0.0,0.0,0.0,0.0,0.0
ee,262,0.0,0.0,0.0,0.0,0.0,0.0,2.54
ee,263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ee,264,0.0,0.0,0.0,0.0,0.0,0.0,2.21
ee,271,0.0,33.18,0.0,19.49,0.0,0.0,0.0
ee,273,0.0,6.59,0.0,0.0,0.0,0.0,0.0
ee,278,0.0,0.0,0.0,0.0,0.0,0.0,2.53
ee,282,3.47,6.31,4.12,18.78,3.5,1.58,2.34
ee,364a,3.4,0.0,3.84,3.95,3.18,1.47,2.39
ee,364b,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ee,368,0.0,0.0,0.0,0.0,0.0,0.0,2.16
engr,105,0.0,34.29,0.0,0.0,0.0,0.0,0.0
engr,205,6.13,8.47,0.0,0.0,0.0,0.0,0.0
engr,207b,0.0,8.45,0.0,0.0,0.0,0.0,0.0
gene,211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
humbio,82a,0.0,0.0,0.0,0.0,0.0,1.62,0.0
math,113,0.0,0.0,0.0,0.0,0.0,0.0,20.05
math,52,0.0,0.0,0.0,0.0,0.0,0.0,20.58
me,101,0.0,0.0,0.0,0.0,0.0,1.8,2.21
me,115a,0.0,0.0,0.0,0.0,0.0,1.62,0.0
me,203,0.0,0.0,0.0,0.0,0.0,1.74,0.0
me,210,0.0,34.29,0.0,0.0,0.0,1.67,0.0
me,216a,0.0,0.0,0.0,0.0,0.0,1.5,0.0
me,216m,0.0,0.0,0.0,0.0,0.0,37.87,0.0
ms&e,125,0.0,0.0,0.0,0.0,0.0,1.57,0.0
ms&e,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ms&e,185,0.0,0.0,0.0,0.0,0.0,1.6,0.0
ms&e,251,6.76,0.0,0.0,0.0,0.0,0.0,0.0
ms&e,252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ms&e,310,0.0,0.0,0.0,0.0,9.64,0.0,0.0
ms&e,331,0.0,0.0,0.0,0.0,0.0,1.55,0.0
ms&e,351,6.33,0.0,0.0,0.0,0.0,0.0,0.0
ms&e,352,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ms&e,355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
music,220a,0.0,0.0,0.0,0.0,0.0,1.54,0.0
music,220b,0.0,0.0,0.0,0.0,0.0,1.64,0.0
music,220c,0.0,0.0,0.0,0.0,0.0,1.75,0.0
music,250a,0.0,0.0,0.0,0.0,0.0,1.69,0.0
phil,151,1.61,0.0,2.03,1.9,4.93,0.72,1.1
phil,152,0.0,0.0,0.0,3.91,3.47,0.0,0.0
psych,110,0.0,0.0,0.0,0.0,0.0,1.58,0.0
psych,131,0.0,0.0,0.0,0.0,0.0,1.85,0.0
psych,154,0.0,0.0,0.0,0.0,0.0,1.63,0.0
psych,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
psych,204a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
psych,204b,0.0,0.0,0.0,0.0,0.0,0.0,0.0
psych,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
psych,221,0.0,0.0,0.0,0.0,0.0,0.0,2.29
psych,252,0.0,0.0,0.0,0.0,0.0,1.67,0.0
psych,254,0.0,0.0,0.0,0.0,0.0,1.68,0.0
psych,30,0.0,0.0,0.0,0.0,0.0,1.64,2.63
psych,45,0.0,0.0,0.0,0.0,0.0,1.59,0.0
psych,55,0.0,0.0,0.0,0.0,0.0,1.8,0.0
psych,70,0.0,0.0,0.0,0.0,0.0,1.59,0.0
psych,75,0.0,0.0,0.0,0.0,0.0,1.74,0.0
stats,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,203,0.0,0.0,0.0,0.0,0.0,1.67,0.0
stats,205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,315a,6.43,0.0,0.0,0.0,0.0,0.0,0.0
stats,315b,5.96,0.0,0.0,0.0,0.0,0.0,0.0
symsys,245,0.0,0.0,0.0,0.0,0.0,1.64,0.0
