deptCode,classNo,scoreAI,scoreCompeng,scoreInfo,scoreSystems,scoreTheory,scoreHCI,scoreGraphics
psych,154,0.0,0.0,0.0,0.0,0.0,1.72,0.0
psych,202,2.86,0.0,0.0,0.0,0.0,0.0,0.0
psych,204a,2.97,0.0,0.0,0.0,0.0,0.0,0.0
psych,204b,2.84,0.0,0.0,0.0,0.0,0.0,0.0
psych,209,2.83,0.0,0.0,0.0,0.0,0.0,0.0
psych,221,0.0,0.0,0.0,0.0,0.0,0.0,2.32
psych,252,0.0,0.0,0.0,0.0,0.0,1.65,0.0
psych,254,0.0,0.0,0.0,0.0,0.0,1.48,0.0
psych,30,0.0,0.0,0.0,0.0,0.0,1.41,2.44
psych,45,0.0,0.0,0.0,0.0,0.0,1.54,0.0
psych,55,0.0,0.0,0.0,0.0,0.0,1.71,0.0
psych,70,0.0,0.0,0.0,0.0,0.0,1.61,0.0
psych,75,0.0,0.0,0.0,0.0,0.0,1.64,0.0
stats,200,2.82,0.0,0.0,0.0,0.0,0.0,0.0
stats,202,3.02,0.0,0.0,0.0,0.0,0.0,0.0
stats,203,0.0,0.0,0.0,0.0,0.0,1.72,0.0
stats,205,2.72,0.0,0.0,0.0,0.0,0.0,0.0
stats,206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stats,315a,5.54,0.0,0.0,0.0,0.0,0.0,0.0
stats,315b,5.92,0.0,0.0,0.0,0.0,0.0,0.0
symsys,245,0.0,0.0,0.0,0.0,0.0,1.71,0.0
